,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,API Pull Timestamp
0,1,Bitcoin,BTC,bitcoin,10165,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19349668.0,19349668.0,False,,1,,,,2023-04-18T11:25:00.000Z,29961.312042114067,17489309739.35549,11.9004,0.10703452,0.33834143,-0.52233044,10.36278415,25.98154738,41.31661346,579741440859.3092,45.6117,629187552884.4,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
1,1027,Ethereum,ETH,ethereum,6736,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,119368246.2283187,119368246.2283187,False,,2,,,,2023-04-18T11:25:00.000Z,2103.048557797969,9244151139.63105,-1.9157,-0.11887526,0.70096062,9.50177171,18.05574079,26.14597318,33.44520176,251037218077.3385,19.7492,251037218077.34,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
2,825,Tether,USDT,tether,51396,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,81061272678.94568,84091735571.79916,False,,3,,,,2023-04-18T11:25:00.000Z,1.000374196635194,31075849170.111515,5.5768,-0.00216456,-0.0310828,-0.03911856,-0.23209085,0.01741264,0.02555732,81091605534.42668,6.38,84123202416.3,,2023-04-18T11:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-04-18 11:26:30,
3,1839,BNB,BNB,bnb,1265,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155865411.21122676,155865411.21122676,False,,4,,,,2023-04-18T11:25:00.000Z,343.94513365098317,771499712.3811448,-28.876,-0.05146142,0.58772931,4.15169025,2.070753,10.82864368,14.37082174,53609149690.61084,4.214,53609149690.61,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
4,3408,USD Coin,USDC,usd-coin,11857,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,31614523186.92815,31614523186.92815,False,,5,,,,2023-04-18T11:25:00.000Z,0.9999472753396447,4004911109.5174236,-10.64,-0.00518973,0.00724348,-0.00492844,0.00957309,-0.02305944,0.00333201,31612856321.930824,2.4849,31612856321.93,,2023-04-18T11:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-04-18 11:26:30,
5,52,XRP,XRP,xrp,932,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51750810378.0,99988998998.0,False,,6,,,,2023-04-18T11:25:00.000Z,0.5175525017967496,958594677.656525,10.4496,0.17641347,0.68287122,-0.99823437,32.64456293,33.28709626,32.7732617,26783761381.143093,2.1071,51755250179.67,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
6,2010,Cardano,ADA,cardano,766,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34779735908.086,35694617077.121,False,,7,,,,2023-04-18T11:25:00.000Z,0.444276882412093,397513634.0267714,-6.2221,0.14217789,-0.08760838,8.57036231,29.98518941,12.39239567,28.09502671,15451832640.360373,1.2157,19992459708.54,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
7,74,Dogecoin,DOGE,dogecoin,688,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,138987986383.70523,138987986383.70523,False,,8,,,,2023-04-18T11:25:00.000Z,0.09303604341804723,1057864890.4573877,6.7797,-0.05651538,-1.24985179,8.98933295,25.51214255,7.40390517,8.03023079,12930892335.781357,1.0172,12930892335.78,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
8,3890,Polygon,MATIC,polygon,659,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9219469069.28493,10000000000.0,False,,9,,,,2023-04-18T11:25:00.000Z,1.178094506695028,310241129.29432654,-3.1606,0.10996076,0.77702269,4.37659095,-0.67353811,-19.1485706,19.19587093,10861405865.169296,0.8544,11780945066.95,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
9,5426,Solana,SOL,solana,456,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,392339520.3113231,539312704.8875339,False,,10,,,,2023-04-18T11:25:00.000Z,25.201347540936933,579092697.2604432,-23.8394,-0.18054241,0.73611795,12.56132608,16.9657971,11.42040805,11.85024653,9887484605.41014,0.7772,13591406909.11,,2023-04-18T11:25:00.000Z,,,,,,2023-04-18 11:26:30,
